resource_id,primary_secondary,author,year,title,resource_type,doi_ISBN,resource_journal,resource_volume_pages
r257,primary,"Grinyó, J., Viladrich, N., Díaz, D., Muñoz, A., Mallol, S., Salazar, J., ... & Gori, A.",2018,"Reproduction, energy storage and metabolic requirements in a mesophotic population of the gorgonian Paramuricea macrospina",article,10.1371/journal.pone.0203308.,PloS One,"13, e0203308. "
r258,primary,"Fountain, C. T., Waller, R. G., & Auster, P. J.",2019,Individual and population level variation in the reproductive potential of deep-sea corals from different regions within the gulf of Maine,article,10.3389/fmars.2019.00172,Front. Mar. Sci.,"6, 172. "
r259,primary,"Topçu, N.E. & Oztürk, B.",2016,"Reproduction in the mediterranean endemic gorgonian Spinimuricea klavereni (anthozoa, octocorallia, Plexauridae)",article,10.1111/IVB.12112,Invertebrate Biology,"135, 13–19."
r260,primary,"Michalek-Wagner, K., & Willis, B.",2001,"Impacts of bleaching on the soft coral Lobophytum compactum. I. Fecundity, fertilization and offspring viability",article,10.1007/s003380170003,Coral Reefs,"19, 231–239"
r261,primary,"Dahan, M. & Benayahu, Y. ",1998,"Embryogenesis, Planulae Longevity, and Competence in the Octocoral Dendronephthya hemprichi",article,10.2307/3227029,Invertebrate Biology,"117(4),271-280"
r263,primary,"Nonaka, M., Nakamura, M., & Muzik, K.",2015,Sexual Reproduction in Precious Corals (Coralliidae) Collected in the Ryukyu Archipelago,article,10.2984/69.1.2,Pacific Science,69(1):15-46
r264,primary,"Luan, N. T., Rahman, M. A., Maki, T., Iwasaki, N., & Hasegawa, H.",2013,Growth characteristics and growth rate estimation of Japanese precious corals,article,10.1016/j.jembe.2013.01.012,J Exp Mar Biol Ecol ,441:117–125.
r265,primary,"Lasker, H.R.",1984,"Asexual reproduction, fragmentation, and skeletal morphology of a plexaurid gorgonian ",article,10.3354/meps019261,Mar. Ecol. Prog. Ser.,"9: 261-268, "
r266,primary,"Coffroth, M. A., & Lasker, H. R.",1998,"Larval paternity and male reproductive success of a broadcast-spawning gorgonian,Plexaura kuna. ",article,10.1007/s002270050326 ,Mar Biol,"131(2), 329–337. "
r267,primary,"McFadden, C.S.",1997,"Contributions of sexual and asexual reproduc- tion to population structure in the clonal soft coral, Alcyonium rudyi.",article,10.1111/j.1558-5646.1997.tb02393.x,Evolution,51: 112–126. 
r268,primary,"Lasker, H. R., Kim, K., & Coffroth, M. A.",1998,"Production, settlement, and survival of plexaurid gorgonian recruits",article,10.3354/meps162111,Mar. Ecol. Prog. Ser.,162:111-123
r269,primary,"Lasker, H.R.",2011,"Reproductive Strategy, Larval Behavior and Recruitment among Caribbean Octocorals",conference proceedings,,Society for integrative and comparative biology annual meeting,v51
r270,primary,"Rakka, M., Godinho, A., Orejas, C., & Carreiro-Silva, M.",2021,Embryo and larval biology of the deep-sea octocoral Dentomuricea aff. meteor under different temperature regimes,article,10.7717/peerj.11604,PeerJ,9:e11604
r271,primary,"Kim, S., Wild, C., & Tilstra, A.",2022,Effective asexual reproduction of a widespread soft coral: comparative assessment of four different fragmentation methods,article,10.7717/peerj.12589,PeerJ,10:e12589
r272,primary,"Excoffon, A.C., Navella, L., Acuña, F.H. & Garese, A.",2011,"Oocyte production, fecundity and size at first reproduction of Tripalea clavaria (Cnidaria, Octocorallia, Anthohelidae) in the Southwest Atlantic",article,,Zoological Studies,50(4): 434-442
r273,primary,"Baran, C. C., & Baria‐Rodriguez, M. V.",2021,"Sexual reproduction in the soft coral Lobophytum schoedei in Bolinao-Anda Reef Complex, Pangasinan, northwestern Philippines",article,10.1111/ivb.12316,Invertebrate Biology,"140(2),e12316"
r274,primary,"Sun, Z., Hamel, J. F., & Mercier, A.",2011,"Planulation, larval biology, and early growth of the deep-sea soft corals Gersemia fruticosa and Duva florida (Octocorallia: Alcyonacea)",article,10.1111/j.1744-7410.2011.00229.x,Invertebrate Biology,"130(2),91-99"
r275,primary,"Kim, E., Lasker, H. R., Coffroth, M. A., & Kim, K.",2004,"Morphological and genetic variation across reef habitats in a
broadcast-spawning octocoral",article,10.1007/s10750-004-2646-8,Hydrobiologia,"530, 423–432"
r276,primary,"Feehan, K. A., & Waller, R. G.",2015,Notes on reproduction of eight species of Eastern Pacific cold-water octocorals,article,10.1017/S0025315415000053,J Mar Biol Assoc UK,"95(4) ,691 - 696"
r277,primary,"Sekida, S., Iwasaki, N., & Okuda, K.",2016,"Gonadal Morphology and Gametogenesis in Japanese Red Coral Corallium japonicum (Octocorallia: Alcyonacea) Collected off Cape Ashizuri, Japan",article,10.2108/zs150140,Zoological Science,33(3):320-336
r278,primary,"Tsai, S., Jhuang, Y., Spikings, E., Sung, P. J., & Lin, C.",2014,Ultrastructural observations of the early and late stages of gorgonian coral (Junceella juncea) oocytes,article,10.1016/j.tice.2014.05.002,Tissue and Cell,"46(4), 225-232"
r280,primary,"Porcu, C., Follesa, M. C., Cannas, R., Cau, A., Soldovilla, G., Pesci, P., & Cau, A.",2017,"Reproductive patterns in deep versus shallow populations of the precious Mediterranean gorgonian Corallium rubrum (Linnaeus, 1758) (Sardinia, Central-Western Mediterranean)",article,10.12681/mms.1854,Mediterranean Marine Science,18(1):64-76
r281,primary,"Pelosi, J. A., Bernal, M. A., Krabbenhoft, T. J., Galbo, S., Prada, C., Coffroth, M. A., & Lasker, H.",2021,"Fine-scale morphological, genomic, reproductive, and symbiont differences delimit the Caribbean octocorals Plexaura homomalla and P. kükenthali",article,10.1007/s00338-021-02175-x,Coral Reefs,"41, 635–653"
r282,primary,"Gomez, C. G., Gonzalez, A., & Guzman, H. M.",2018,Reproductive traits and their relationship with water temperature in three common octocoral (Anthozoa: Octocoralia) species from the tropical eastern Pacific ,article,10.5343/bms.2017.1051 ,Bull Mar Sci ,"94(4), 1527-1541(15)"
r283,primary,"Coelho, M. A., & Lasker, H. R.",2016,Larval behavior and settlement dynamics of a ubiquitous Caribbean octocoral and its implications for dispersal ,article,10.3354/meps11941 ,Mar. Ecol. Prog. Ser.,561:109-121
r284,primary,"Gori, A., Viladrich, N., Gili, J. M., Kotta, M., Cucio, C., Magni, L., ... & Rossi, S.",2012,"Reproductive cycle and trophic ecology in deep versus shallow populations of the Mediterranean gorgonian Eunicella singularis (Cap de Creus, northwestern Mediterranean Sea)",article,10.1007/s00338-012-0904-1,Coral Reefs,"31,823–837"
r285,primary,"Sun, Z., Hamel, J. F., Edinger, E., & Mercier, A.",2010,Reproductive biology of the deep-sea octocoral Drifa glomerata in the Northwest Atlantic,article,10.1007/s00227-009-1369-9,Mar Biol,"157, 863–873"
r286,primary,"Tonra, K. J., Wells, C. D., & Lasker, H. R.",2021,"Spawning, embryogenesis, settlement, and post-settlement development of the gorgonian Plexaura homomalla",article,10.1111/ivb.12319,,
r287,primary,"Toh, T. C., Soon Lionel Ng, C., Ben Toh, K., Afiq-Rosli, L., Taira, D., Loke, H., & Ming Chou, L.",2016,"Mass brooding of the blue octocoral, Heliopora coerulea on a sedimented equatorial reef",article,10.1080/10236244.2015.1112959,,
